list_title,url,price,area,category,prop_type,prop_title1,prop_title2,bedrooms,bathroom,facilities,size,size_unit
Full Loan Residensi Wilayah Bukit Jalil (Free Register )Only Bumi Lot,https://www.mudah.my/Full+Loan+Residensi+Wilayah+Bukit+Jalil+Free+Register+Only+Bumi+Lot-82202855.htm,300000,Bukit Jalil,Apartments,Condo / Services residence / Penthouse / Townhouse,Leasehold,Bumi Lot,3,2,"Swimming Pool, Gymnasium, Tennis Court, Squash Court, Mini Market, Playground, Jogging Track, 24 Hour Security, Balcony/Patio, Cable TV",900.0,sq.ft.
Suasana Lumayan Condo 1142sf 4R2B Sri Permaisuri Belw Market Nice View,https://www.mudah.my/Suasana+Lumayan+Condo+1142sf+4R2B+Sri+Permaisuri+Belw+Market+Nice+View-83710584.htm,399000,Cheras,Apartments,Condo / Services residence / Penthouse / Townhouse,Leasehold,Non Bumi Lot,4,2,"Swimming Pool, Gymnasium, Tennis Court, Squash Court, Mini Market, Playground, Jogging Track, 24 Hour Security, Balcony/Patio, Cable TV",1142.0,sq.ft.
[Best View 105%/Below Market] Midfields 2 Swimming Pool View,https://www.mudah.my/+Best+View+105+Below+Market+Midfields+2+Swimming+Pool+View-83710526.htm,495000,Sungai Besi,Apartments,Condo / Services residence / Penthouse / Townhouse,Leasehold,Non Bumi Lot,3,2,"Swimming Pool, Gymnasium, Squash Court, Mini Market, Playground, 24 Hour Security, Balcony/Patio, Cable TV",1034.0,sq.ft.
Sri baiduri apartment - ukay perdana ampang,https://www.mudah.my/Sri+baiduri+apartment+ukay+perdana+ampang-83710494.htm,285000,Ampang Hilir,Apartments,Condo / Services residence / Penthouse / Townhouse,Leasehold,Bumi Lot,4,3,"Mini Market, Playground, Jogging Track, 24 Hour Security, Balcony/Patio",900.0,sq.ft.
Tuan puan jom happy2 di Freehold Taman Sri Bahagia Cheras KL,https://www.mudah.my/Tuan+puan+jom+happy2+di+Freehold+Taman+Sri+Bahagia+Cheras+KL-83710467.htm,595000,Cheras,Houses,Double storey,Freehold,Non Bumi Lot,4,3,,1260.0,sq.ft.
My Bangsar South Kampung Kerinchi Land For Sale !!!,https://www.mudah.my/My+Bangsar+South+Kampung+Kerinchi+Land+For+Sale+-83710456.htm,45000000,Bangsar South,Land,Agricultural,Freehold,Non Bumi Lot,,,,0.74,Acres
Platinum Lake PV 21 Condominium Setapak,https://www.mudah.my/Platinum+Lake+PV+21+Condominium+Setapak-83710060.htm,375000,Setapak,Apartments,Condo / Services residence / Penthouse / Townhouse,Leasehold,Bumi Lot,2,2,"Swimming Pool, Gymnasium, Mini Market, Playground, Jogging Track, 24 Hour Security, Balcony/Patio, Cable TV",900.0,sq.ft.
Wangsa Maju Section 1 Ground floor shop,https://www.mudah.my/Wangsa+Maju+Section+1+Ground+floor+shop-83710050.htm,1500000,Wangsa Maju,Commercial,Shop lot,Leasehold,Non Bumi Lot,,,,2400.0,sq.ft.
"Kepong , Freehold , Double Storey , Taman Sri Sinar, Menjalara",https://www.mudah.my/Kepong+Freehold+Double+Storey+Taman+Sri+Sinar+Menjalara-83710030.htm,395000,Kepong,Houses,Two and a half storey,Freehold,Non Bumi Lot,3,2,,610.0,sq.ft.
"Taman Melawati 2.5 Storey House, Big Land and Fully Renovated",https://www.mudah.my/Taman+Melawati+2+5+Storey+House+Big+Land+and+Fully+Renovated-83710013.htm,1900000,Taman Melawati,Houses,Two and a half storey,Freehold,Non Bumi Lot,6,5,,3800.0,sq.ft.
Taman Lembah Maju RP1 Flat,https://www.mudah.my/Taman+Lembah+Maju+RP1+Flat-83191039.htm,159900,Cheras,Apartments,Apartment/ Flat,Leasehold,Non Bumi Lot,2,1,,572.0,sq.ft.
Cheras ketumbar hill condominium for sale,https://www.mudah.my/Cheras+ketumbar+hill+condominium+for+sale-80689590.htm,478000,Cheras,Apartments,Condo / Services residence / Penthouse / Townhouse,Freehold,Non Bumi Lot,4,2,,1066.0,sq.ft.
Cheras Aliran Damai Apartment Bandar Tun Hussien Onn Very Nice,https://www.mudah.my/Cheras+Aliran+Damai+Apartment+Bandar+Tun+Hussien+Onn+Very+Nice-81988859.htm,358000,Cheras,Apartments,Apartment/ Flat,Freehold,Non Bumi Lot,3,2,"Swimming Pool, Gymnasium, Tennis Court, Squash Court, Mini Market, Playground, Jogging Track, 24 Hour Security, Balcony/Patio, Cable TV",950.0,sq.ft.
"Danau kota flat , 700sf , 3r2b , setapak , wangsa maju",https://www.mudah.my/Danau+kota+flat+700sf+3r2b+setapak+wangsa+maju-78193969.htm,160000,Setapak,Apartments,Apartment/ Flat,Leasehold,Bumi Lot,3,1,,700.0,sq.ft.
MURAH RENOVATED Pangsapuri Jati Selatan Desa Petaling CANTIK LUAS,https://www.mudah.my/MURAH+RENOVATED+Pangsapuri+Jati+Selatan+Desa+Petaling+CANTIK+LUAS-83710395.htm,270000,Desa Petaling,Apartments,Condo / Services residence / Penthouse / Townhouse,Leasehold,Bumi Lot,3,2,"Mini Market, Playground, Jogging Track, 24 Hour Security, Balcony/Patio, Cable TV",826.0,sq.ft.
LOW DEPO ENDLOT RENOVATED Apartment Cheras Utama KL NEGO MURAH CANTIK,https://www.mudah.my/LOW+DEPO+ENDLOT+RENOVATED+Apartment+Cheras+Utama+KL+NEGO+MURAH+CANTIK-83710368.htm,285000,Cheras,Apartments,Condo / Services residence / Penthouse / Townhouse,Leasehold,Bumi Lot,3,2,"Mini Market, Playground, Jogging Track, 24 Hour Security, Balcony/Patio, Cable TV",883.0,sq.ft.
2 sty taman permata value buy hse near melawati wangsa maju keramat,https://www.mudah.my/2+sty+taman+permata+value+buy+hse+near+melawati+wangsa+maju+keramat-83710365.htm,399000,Taman Melawati,Houses,Double storey,Freehold,Non Bumi Lot,2,2,,840.0,sq.ft.
Pangsapuri Jati Selatan Desa Petaling,https://www.mudah.my/Pangsapuri+Jati+Selatan+Desa+Petaling-83710344.htm,270000,Desa Petaling,Apartments,Apartment/ Flat,Leasehold,Bumi Lot,3,2,"Playground, 24 Hour Security, Balcony/Patio",826.0,sq.ft.
